country,year,immigration_rate
kuwait,1992,-655000
kuwait,1997,242000
kuwait,2002,26500
kuwait,2007,479500
kuwait,2012,670000
kuwait,2017,100000
lao_pdr,1962,76
lao_pdr,1967,30
lao_pdr,1972,46
lao_pdr,1977,-198756
lao_pdr,1982,-35110
lao_pdr,1987,138
lao_pdr,1992,-60567
lao_pdr,1997,-134746
lao_pdr,2002,-148100
lao_pdr,2007,-110258
lao_pdr,2012,-177488
lao_pdr,2017,-73518
lebanon,1962,20000
lebanon,1967,-70002
lebanon,1972,-10000
lebanon,1977,-270000
lebanon,1982,-214381
lebanon,1987,-228040
lebanon,1992,90000
lebanon,1997,-29428
lebanon,2002,550110
lebanon,2007,183370
lebanon,2012,1250000
lebanon,2017,-150000
liberia,1962,7996
liberia,1967,7996
liberia,1972,10996
liberia,1977,11949
liberia,1982,0
liberia,1987,-400000
liberia,1992,-300000
liberia,1997,450000
liberia,2002,-50000
liberia,2007,175585
liberia,2012,-20000
liberia,2017,-25000
libya,1962,45891
libya,1967,48002
libya,1972,58665
libya,1977,57534
libya,1982,113380
libya,1987,5490
libya,1992,3965
libya,1997,-57368
libya,2002,-20569
libya,2007,-118555
libya,2012,-433403
libya,2017,-9997
st._lucia,1962,-9372
st._lucia,1967,-7697
st._lucia,1972,-9649
st._lucia,1977,-8932
st._lucia,1982,-8141
st._lucia,1987,-4262
st._lucia,1992,-4806
st._lucia,1997,-948
st._lucia,2002,-227
st._lucia,2007,2850
st._lucia,2012,40
st._lucia,2017,40
sri_lanka,1962,-47500
sri_lanka,1967,-38500
sri_lanka,1972,-145000
sri_lanka,1977,-237500
sri_lanka,1982,-395500
sri_lanka,1987,-137440
sri_lanka,1992,-255780
sri_lanka,1997,-461684
sri_lanka,2002,-449480
sri_lanka,2007,-520065
sri_lanka,2012,-484772
sri_lanka,2017,-449999
lesotho,1962,-25000
lesotho,1967,-22400
lesotho,1972,-24048
lesotho,1977,-6538
lesotho,1982,-25760
lesotho,1987,-62682
lesotho,1992,-46345
lesotho,1997,-74427
lesotho,2002,-40000
lesotho,2007,-40000
lesotho,2012,-25000
lesotho,2017,-19998
lithuania,1962,24715
lithuania,1967,26314
lithuania,1972,37782
lithuania,1977,38815
lithuania,1982,43804
lithuania,1987,36863
lithuania,1992,-100301
lithuania,1997,-93925
lithuania,2002,-99104
lithuania,2007,-150930
lithuania,2012,-146217
lithuania,2017,-25000
luxembourg,1962,8527
luxembourg,1967,5918
luxembourg,1972,15284
luxembourg,1977,11846
luxembourg,1982,2552
luxembourg,1987,12831
luxembourg,1992,20040
luxembourg,1997,19940
luxembourg,2002,14473
luxembourg,2007,42279
luxembourg,2012,48704
luxembourg,2017,25001
latvia,1962,79651
latvia,1967,70780
latvia,1972,54668
latvia,1977,36327
latvia,1982,30762
latvia,1987,41910
latvia,1992,-116474
latvia,1997,-46601
latvia,2002,-72490
latvia,2007,-86594
latvia,2012,-83325
latvia,2017,-50000
"macao_sar,_china",1962,19062
"macao_sar,_china",1967,33602
"macao_sar,_china",1972,-10972
"macao_sar,_china",1977,-10034
"macao_sar,_china",1982,25146
"macao_sar,_china",1987,33466
"macao_sar,_china",1992,21845
"macao_sar,_china",1997,27867
"macao_sar,_china",2002,46284
"macao_sar,_china",2007,42381
"macao_sar,_china",2012,42350
"macao_sar,_china",2017,25000
morocco,1962,-240922
morocco,1967,-477753
morocco,1972,-497677
morocco,1977,-293328
morocco,1982,-320659
morocco,1987,-418575
morocco,1992,-466627
morocco,1997,-559380
morocco,2002,-654821
morocco,2007,-565140
morocco,2012,-307108
morocco,2017,-257096
moldova,1962,100890
moldova,1967,74449
moldova,1972,55824
moldova,1977,-26414
moldova,1982,-9185
moldova,1987,-84531
moldova,1992,-131953
moldova,1997,-165309
moldova,2002,-12079
moldova,2007,-47911
moldova,2012,-9529
moldova,2017,-14318
madagascar,1962,0
madagascar,1967,-8000
madagascar,1972,-19000
madagascar,1977,-30000
madagascar,1982,-10000
madagascar,1987,-10000
madagascar,1992,-9500
madagascar,1997,-8500
madagascar,2002,-7500
madagascar,2007,-7500
madagascar,2012,-7500
madagascar,2017,-7500
maldives,1962,-581
maldives,1967,-2904
maldives,1972,2415
maldives,1977,0
maldives,1982,0
maldives,1987,-2605
maldives,1992,-3072
maldives,1997,-1100
maldives,2002,13811
maldives,2007,17994
maldives,2012,21916
maldives,2017,9758
mexico,1962,-411004
mexico,1967,-620001
mexico,1972,-899999
mexico,1977,-1186998
mexico,1982,-1519000
mexico,1987,-1785998
mexico,1992,-1302868
mexico,1997,-2354719
mexico,2002,-2911437
mexico,2007,-246002
mexico,2012,-300000
mexico,2017,-300000
"macedonia,_fyr",1962,-40940
"macedonia,_fyr",1967,-28981
"macedonia,_fyr",1972,-61002
"macedonia,_fyr",1977,-14749
"macedonia,_fyr",1982,-72752
"macedonia,_fyr",1987,-98818
"macedonia,_fyr",1992,-100107
"macedonia,_fyr",1997,-4999
"macedonia,_fyr",2002,-14572
"macedonia,_fyr",2007,-7399
"macedonia,_fyr",2012,-8853
"macedonia,_fyr",2017,-4999
mali,1962,-70243
mali,1967,-98235
mali,1972,-95585
mali,1977,-174998
mali,1982,-218064
mali,1987,-480652
mali,1992,-173489
mali,1997,-141950
mali,2002,-67110
mali,2007,-100823
mali,2012,-302449
mali,2017,-200000
malta,1962,-11710
malta,1967,-12601
malta,1972,-9682
malta,1977,-4843
malta,1982,2856
malta,1987,1159
malta,1992,3787
malta,1997,6378
malta,2002,5521
malta,2007,6630
malta,2012,9447
malta,2017,4501
myanmar,1962,0
myanmar,1967,0
myanmar,1972,0
myanmar,1977,0
myanmar,1982,-54656
myanmar,1987,-200000
myanmar,1992,-699993
myanmar,1997,-537998
myanmar,2002,-1247687
myanmar,2007,-1466799
myanmar,2012,-474278
myanmar,2017,-99998
montenegro,1962,-2001
montenegro,1967,-53773
montenegro,1972,-2001
montenegro,1977,-7401
montenegro,1982,-2001
montenegro,1987,-29965
montenegro,1992,-20249
montenegro,1997,-21588
montenegro,2002,-7999
montenegro,2007,-683
montenegro,2012,-3112
montenegro,2017,-2400
mongolia,1962,0
mongolia,1967,0
mongolia,1972,0
mongolia,1977,0
mongolia,1982,0
mongolia,1987,0
mongolia,1992,-88432
mongolia,1997,-52463
mongolia,2002,-15001
mongolia,2007,-15001
mongolia,2012,-15001
mongolia,2017,-15001
mozambique,1962,-23500
mozambique,1967,-23500
mozambique,1972,-23500
mozambique,1977,87373
mozambique,1982,-373366
mozambique,1987,-1300000
mozambique,1992,650000
mozambique,1997,-50000
mozambique,2002,30004
mozambique,2007,-40000
mozambique,2012,-25000
mozambique,2017,-25000
mauritania,1962,-1820
mauritania,1967,-2760
mauritania,1972,-5950
mauritania,1977,-9700
mauritania,1982,-16100
mauritania,1987,-30300
mauritania,1992,-29997
mauritania,1997,13000
mauritania,2002,7004
mauritania,2007,10005
mauritania,2012,40000
mauritania,2017,25502
mauritius,1962,-30869
mauritius,1967,-29156
mauritius,1972,-20463
mauritius,1977,-20617
mauritius,1982,-21632
mauritius,1987,-35977
mauritius,1992,-5611
mauritius,1997,-8858
mauritius,2002,-19372
mauritius,2007,-12079
mauritius,2012,-12079
mauritius,2017,0
malawi,1962,-61928
malawi,1967,-61928
malawi,1972,-52404
malawi,1977,-33348
malawi,1982,-28605
malawi,1987,893196
malawi,1992,-938900
malawi,1997,-36820
malawi,2002,-36820
malawi,2007,-36820
malawi,2012,-30000
malawi,2017,-60000
malaysia,1962,-48864
malaysia,1967,-134701
malaysia,1972,-131509
malaysia,1977,-6950
malaysia,1982,-71370
malaysia,1987,435408
malaysia,1992,298812
malaysia,1997,494721
malaysia,2002,645533
malaysia,2007,711297
malaysia,2012,781650
malaysia,2017,250000
namibia,1962,0
namibia,1967,-870
namibia,1972,-2825
namibia,1977,-44585
namibia,1982,-29139
namibia,1987,74791
namibia,1992,23492
namibia,1997,35497
namibia,2002,-50000
namibia,2007,-50000
namibia,2012,-1371
namibia,2017,-2236
niger,1962,-11545
niger,1967,-11545
niger,1972,-13763
niger,1977,-18138
niger,1982,-92946
niger,1987,-91917
niger,1992,-2679
niger,1997,24056
niger,2002,-28497
niger,2007,-28497
niger,2012,-28497
niger,2017,-28497
nigeria,1962,1021
nigeria,1967,-43347
nigeria,1972,-38526
nigeria,1977,854649
nigeria,1982,-671640
nigeria,1987,-91407
nigeria,1992,-95769
nigeria,1997,-95027
nigeria,2002,-170000
nigeria,2007,-300000
nigeria,2012,-300000
nigeria,2017,-300000
nicaragua,1962,-14003
nicaragua,1967,-18997
nicaragua,1972,-37999
nicaragua,1977,-58001
nicaragua,1982,-110002
nicaragua,1987,-150001
nicaragua,1992,-120001
nicaragua,1997,-145000
nicaragua,2002,-173998
nicaragua,2007,-155000
nicaragua,2012,-135000
nicaragua,2017,-106342
netherlands,1962,11589
netherlands,1967,54636
netherlands,1972,186745
netherlands,1977,145804
netherlands,1982,71525
netherlands,1987,139748
netherlands,1992,186409
netherlands,1997,178553
netherlands,2002,146020
netherlands,2007,65713
netherlands,2012,62687
netherlands,2017,80000
norway,1962,-2274
norway,1967,4178
norway,1972,15870
norway,1977,20728
norway,1982,24805
norway,1987,38715
norway,1992,46903
norway,1997,58773
norway,2002,67400
norway,2007,163433
norway,2012,221814
norway,2017,140000
nepal,1962,-70000
nepal,1967,-21075
nepal,1972,-5799
nepal,1977,-41002
nepal,1982,-101147
nepal,1987,-216407
nepal,1992,76064
nepal,1997,-464703
nepal,2002,-797844
nepal,2007,-1023896
nepal,2012,-372369
nepal,2017,-350000
new_zealand,1962,54391
new_zealand,1967,-2624
new_zealand,1972,76678
new_zealand,1977,-74794
new_zealand,1982,-2908
new_zealand,1987,-9418
new_zealand,1992,118016
new_zealand,1997,42584
new_zealand,2002,134629
new_zealand,2007,62413
new_zealand,2012,90895
new_zealand,2017,74403
oman,1962,-10000
oman,1967,-5000
oman,1972,25470
oman,1977,76409
oman,1982,81500
oman,1987,11169
oman,1992,104700
oman,1997,-193372
oman,2002,15000
oman,2007,267000
oman,2012,817500
oman,2017,605000
pakistan,1962,-93268
pakistan,1967,-209978
pakistan,1972,-138106
pakistan,1977,700000
pakistan,1982,1395238
pakistan,1987,139790
pakistan,1992,-1003727
pakistan,1997,-728632
pakistan,2002,-671488
pakistan,2007,-1396377
pakistan,2012,-1181920
pakistan,2017,-1071778
panama,1962,-11928
panama,1967,-12692
panama,1972,-12288
panama,1977,-14077
panama,1982,-12704
panama,1987,-9395
panama,1992,1954
panama,1997,9797
panama,2002,16119
panama,2007,22244
panama,2012,28105
panama,2017,31448
peru,1962,-30000
peru,1967,-50003
peru,1972,-87999
peru,1977,-98998
peru,1982,-117998
peru,1987,-185001
peru,1992,-293999
peru,1997,-540001
peru,2002,-634999
peru,2007,-489999
peru,2012,-240000
peru,2017,-179540
philippines,1962,364
philippines,1967,-271845
philippines,1972,-237734
philippines,1977,-313636
philippines,1982,-176673
philippines,1987,-298756
philippines,1992,-504878
philippines,1997,-765620
philippines,2002,-1097371
philippines,2007,-1500002
philippines,2012,-650000
philippines,2017,-650000
papua_new_guinea,1962,-5997
papua_new_guinea,1967,2001
papua_new_guinea,1972,-5000
papua_new_guinea,1977,-3998
papua_new_guinea,1982,-3000
papua_new_guinea,1987,-1996
papua_new_guinea,1992,-1996
papua_new_guinea,1997,-1996
papua_new_guinea,2002,-1001
papua_new_guinea,2007,-1001
papua_new_guinea,2012,-1001
papua_new_guinea,2017,-1001
poland,1962,-62544
poland,1967,-143114
poland,1972,-170903
poland,1977,-106595
poland,1982,-119193
poland,1987,-304973
poland,1992,-159999
poland,1997,-85199
poland,2002,-183471
poland,2007,-178456
poland,2012,-73997
poland,2017,-50002
"korea,_dem._people’s_rep.",1962,0
"korea,_dem._people’s_rep.",1967,0
"korea,_dem._people’s_rep.",1972,0
"korea,_dem._people’s_rep.",1977,0
"korea,_dem._people’s_rep.",1982,0
"korea,_dem._people’s_rep.",1987,0
"korea,_dem._people’s_rep.",1992,0
"korea,_dem._people’s_rep.",1997,-13932
"korea,_dem._people’s_rep.",2002,-17190
"korea,_dem._people’s_rep.",2007,-24681
"korea,_dem._people’s_rep.",2012,-27013
"korea,_dem._people’s_rep.",2017,-10156
portugal,1962,-547884
portugal,1967,-701600
portugal,1972,108187
portugal,1977,198629
portugal,1982,-66894
portugal,1987,-147873
portugal,1992,149122
portugal,1997,173604
portugal,2002,178353
portugal,2007,92133
portugal,2012,-140000
portugal,2017,-30001
paraguay,1962,-70580
paraguay,1967,-65825
paraguay,1972,-58830
paraguay,1977,-46331
paraguay,1982,-21209
paraguay,1987,-17242
paraguay,1992,-31049
paraguay,1997,-43861
paraguay,2002,-46919
paraguay,2007,-117299
paraguay,2012,-86700
paraguay,2017,-82365
qatar,1962,16393
qatar,1967,21061
qatar,1972,34368
qatar,1977,28387
qatar,1982,102097
qatar,1987,57517
qatar,1992,-10132
qatar,1997,29506
qatar,2002,213916
qatar,2007,841300
qatar,2012,602000
qatar,2017,200000
romania,1962,-2001
romania,1967,-2001
romania,1972,-2001
romania,1977,-99999
romania,1982,-200000
romania,1987,-200000
romania,1992,-520001
romania,1997,-610000
romania,2002,-468204
romania,2007,-774651
romania,2012,-299997
romania,2017,-150000
russian_federation,1962,-1394343
russian_federation,1967,-553217
russian_federation,1972,-290289
russian_federation,1977,639801
russian_federation,1982,1107000
russian_federation,1987,906615
russian_federation,1992,2519717
russian_federation,1997,2308220
russian_federation,2002,1735324
russian_federation,2007,2157349
russian_federation,2012,1017884
russian_federation,2017,799998
rwanda,1962,-140001
rwanda,1967,20000
rwanda,1972,-20000
rwanda,1977,-20000
rwanda,1982,-50002
rwanda,1987,29999
rwanda,1992,-1347866
rwanda,1997,1210134
rwanda,2002,-72601
rwanda,2007,-79101
rwanda,2012,-79101
rwanda,2017,-44999
saudi_arabia,1962,125989
saudi_arabia,1967,187007
saudi_arabia,1972,491874
saudi_arabia,1977,821335
saudi_arabia,1982,1391626
saudi_arabia,1987,730000
saudi_arabia,1992,-110000
saudi_arabia,1997,-350000
saudi_arabia,2002,730000
saudi_arabia,2007,995000
saudi_arabia,2012,1590000
saudi_arabia,2017,590000
sudan,1962,0
sudan,1967,0
sudan,1972,20002
sudan,1977,180000
sudan,1982,219998
sudan,1987,150000
sudan,1992,653484
sudan,1997,-633001
sudan,2002,-546005
sudan,2007,-1078146
sudan,2012,-589384
sudan,2017,-250001
singapore,1962,428
singapore,1967,-363
singapore,1972,5889
singapore,1977,14266
singapore,1982,137811
singapore,1987,119801
singapore,1992,248927
singapore,1997,255243
singapore,2002,435595
singapore,2007,449245
singapore,2012,337932
singapore,2017,298448
solomon_islands,1962,2348
solomon_islands,1967,2188
solomon_islands,1972,2118
solomon_islands,1977,182
solomon_islands,1982,0
solomon_islands,1987,-1832
solomon_islands,1992,-971
solomon_islands,1997,-677
solomon_islands,2002,-4898
solomon_islands,2007,-11896
solomon_islands,2012,-11868
solomon_islands,2017,-12000
sierra_leone,1962,0
sierra_leone,1967,0
sierra_leone,1972,0
sierra_leone,1977,0
sierra_leone,1982,0
sierra_leone,1987,62745
sierra_leone,1992,-450000
sierra_leone,1997,-150000
sierra_leone,2002,500000
sierra_leone,2007,60000
sierra_leone,2012,-21000
sierra_leone,2017,-21000
el_salvador,1962,-24031
el_salvador,1967,-44306
el_salvador,1972,-90977
el_salvador,1977,-164230
el_salvador,1982,-231749
el_salvador,1987,-256685
el_salvador,1992,-265152
el_salvador,1997,-326853
el_salvador,2002,-312786
el_salvador,2007,-285671
el_salvador,2012,-240415
el_salvador,2017,-202694
somalia,1962,-1328
somalia,1967,1910
somalia,1972,0
somalia,1977,1870372
somalia,1982,-400890
somalia,1987,-399700
somalia,1992,-806214
somalia,1997,-101684
somalia,2002,-183096
somalia,2007,-186250
somalia,2012,-226869
somalia,2017,-199788
serbia,1992,178348
serbia,1997,-495902
serbia,2002,-276331
serbia,2007,-116385
serbia,2012,-99999
serbia,2017,-50000
south_sudan,1962,0
south_sudan,1967,0
south_sudan,1972,25000
south_sudan,1977,60000
south_sudan,1982,150000
south_sudan,1987,-405000
south_sudan,1992,-1076000
south_sudan,1997,400000
south_sudan,2002,432000
south_sudan,2007,785000
south_sudan,2012,425000
south_sudan,2017,150000
sao_tome_and_principe,1962,-9152
sao_tome_and_principe,1967,-744
sao_tome_and_principe,1972,-2509
sao_tome_and_principe,1977,-1221
sao_tome_and_principe,1982,-5999
sao_tome_and_principe,1987,-5999
sao_tome_and_principe,1992,-5599
sao_tome_and_principe,1997,-8293
sao_tome_and_principe,2002,-5599
sao_tome_and_principe,2007,-5599
sao_tome_and_principe,2012,-5599
sao_tome_and_principe,2017,-4999
suriname,1962,-11050
suriname,1967,-13862
suriname,1972,-56820
suriname,1977,-40352
suriname,1982,-31771
suriname,1987,-4845
suriname,1992,-5195
suriname,1997,-10189
suriname,2002,-9124
suriname,2007,-6485
suriname,2012,-5000
suriname,2017,-4999
slovak_republic,1962,-26427
slovak_republic,1967,-57838
slovak_republic,1972,-15254
slovak_republic,1977,-9696
slovak_republic,1982,-34777
slovak_republic,1987,-35312
slovak_republic,1992,-15108
slovak_republic,1997,-2964
slovak_republic,2002,1199
slovak_republic,2007,-8855
slovak_republic,2012,11346
slovak_republic,2017,4999
slovenia,1962,-22059
slovenia,1967,-14950
slovenia,1972,17942
slovenia,1977,34686
slovenia,1982,68363
slovenia,1987,32609
slovenia,1992,-17461
slovenia,1997,1487
slovenia,2002,14998
slovenia,2007,39348
slovenia,2012,16571
slovenia,2017,6002
sweden,1962,80351
sweden,1967,130980
sweden,1972,18798
sweden,1977,88567
sweden,1982,29799
sweden,1987,134569
sweden,1992,156460
sweden,1997,58470
sweden,2002,141723
sweden,2007,262453
sweden,2012,253958
sweden,2017,200000
eswatini,1962,-9908
eswatini,1967,-9472
eswatini,1972,-7872
eswatini,1977,-9472
eswatini,1982,-14496
eswatini,1987,17149
eswatini,1992,-38243
eswatini,1997,-12000
eswatini,2002,-46077
eswatini,2007,-6000
eswatini,2012,-6000
eswatini,2017,-9999
seychelles,1962,-851
seychelles,1967,-998
seychelles,1972,230
seychelles,1977,-200
seychelles,1982,-3099
seychelles,1987,-5295
seychelles,1992,625
seychelles,1997,-135
seychelles,2002,2513
seychelles,2007,-2511
seychelles,2012,-2201
seychelles,2017,-1000
syrian_arab_republic,1962,-16000
syrian_arab_republic,1967,-16000
syrian_arab_republic,1972,-81501
syrian_arab_republic,1977,-161672
syrian_arab_republic,1982,-87001
syrian_arab_republic,1987,-146501
syrian_arab_republic,1992,-70000
syrian_arab_republic,1997,-130000
syrian_arab_republic,2002,-379910
syrian_arab_republic,2007,370000
syrian_arab_republic,2012,-4157896
syrian_arab_republic,2017,-1240000
togo,1962,-77885
togo,1967,138923
togo,1972,-49999
togo,1977,-100000
togo,1982,50001
togo,1987,-20000
togo,1992,-95000
togo,1997,80000
togo,2002,-9999
togo,2007,-9999
togo,2012,-9994
togo,2017,-9999
thailand,1962,0
thailand,1967,0
thailand,1972,402578
thailand,1977,287226
thailand,1982,341913
thailand,1987,513675
thailand,1992,-607538
thailand,1997,695804
thailand,2002,373746
thailand,2007,59008
thailand,2012,167314
thailand,2017,97222
tajikistan,1962,20827
tajikistan,1967,25884
tajikistan,1972,-12207
tajikistan,1977,-17023
tajikistan,1982,-38201
tajikistan,1987,-68033
tajikistan,1992,-289263
tajikistan,1997,-294793
tajikistan,2002,-82491
tajikistan,2007,-73245
tajikistan,2012,-99999
tajikistan,2017,-99999
turkmenistan,1962,26783
turkmenistan,1967,28147
turkmenistan,1972,25346
turkmenistan,1977,-5070
turkmenistan,1982,-35795
turkmenistan,1987,-39702
turkmenistan,1992,43633
turkmenistan,1997,-64674
turkmenistan,2002,-125883
turkmenistan,2007,-62717
turkmenistan,2012,-50002
turkmenistan,2017,-25001
timor-leste,1962,670
timor-leste,1967,864
timor-leste,1972,2242
timor-leste,1977,-93784
timor-leste,1982,10300
timor-leste,1987,-4850
timor-leste,1992,-4186
timor-leste,1997,-156056
timor-leste,2002,4020
timor-leste,2007,-93744
timor-leste,2012,-50004
timor-leste,2017,-50004
tonga,1962,103
tonga,1967,-3147
tonga,1972,-7635
tonga,1977,-7889
tonga,1982,-12542
tonga,1987,-10902
tonga,1992,-11082
tonga,1997,-8701
tonga,2002,-8129
tonga,2007,-8196
tonga,2012,-8078
tonga,2017,-4833
trinidad_and_tobago,1962,-57936
trinidad_and_tobago,1967,-61563
trinidad_and_tobago,1972,-29357
trinidad_and_tobago,1977,-30858
trinidad_and_tobago,1982,-34278
trinidad_and_tobago,1987,-45071
trinidad_and_tobago,1992,-31973
trinidad_and_tobago,1997,-32545
trinidad_and_tobago,2002,-13159
trinidad_and_tobago,2007,-11303
trinidad_and_tobago,2012,-4999
trinidad_and_tobago,2017,-4499
tunisia,1962,-142495
tunisia,1967,-96523
tunisia,1972,-97065
tunisia,1977,-72068
tunisia,1982,85582
tunisia,1987,48999
tunisia,1992,140341
tunisia,1997,-36804
tunisia,2002,-139045
tunisia,2007,-32941
tunisia,2012,-65963
tunisia,2017,-20000
turkey,1962,-149998
turkey,1967,-179999
turkey,1972,-239999
turkey,1977,-259997
turkey,1982,-69997
turkey,1987,-100001
turkey,1992,-119998
turkey,1997,-99999
turkey,2002,-39997
turkey,2007,-50000
turkey,2012,1627172
turkey,2017,1525002
tanzania,1962,26997
tanzania,1967,36024
tanzania,1972,118989
tanzania,1977,-22250
tanzania,1982,37181
tanzania,1987,68208
tanzania,1992,591285
tanzania,1997,-205874
tanzania,2002,-295952
tanzania,2007,-265317
tanzania,2012,-199999
tanzania,2017,-199999
uganda,1962,125200
uganda,1967,53330
uganda,1972,-240530
uganda,1977,-166660
uganda,1982,-115340
uganda,1987,233366
uganda,1992,119995
uganda,1997,-45737
uganda,2002,-5000
uganda,2007,-135000
uganda,2012,-150000
uganda,2017,-150000
ukraine,1962,454164
ukraine,1967,267629
ukraine,1972,209851
ukraine,1977,104383
ukraine,1982,189092
ukraine,1987,0
ukraine,1992,74421
ukraine,1997,-462264
ukraine,2002,-165445
ukraine,2007,269541
ukraine,2012,-200000
ukraine,2017,-100000
uruguay,1962,-6000
uruguay,1967,-34000
uruguay,1972,-136000
uruguay,1977,-60000
uruguay,1982,-30000
uruguay,1987,-30000
uruguay,1992,-20000
uruguay,1997,-26000
uruguay,2002,-104000
uruguay,2007,-50000
uruguay,2012,-30000
uruguay,2017,-15000
united_states,1962,1829274
united_states,1967,1549465
united_states,1972,2940497
united_states,1977,3926811
united_states,1982,3402260
united_states,1987,3428740
united_states,1992,4516808
united_states,1997,8612074
united_states,2002,5206538
united_states,2007,5033689
united_states,2012,4500000
united_states,2017,4500000
uzbekistan,1962,161059
uzbekistan,1967,444282
uzbekistan,1972,70667
uzbekistan,1977,72079
uzbekistan,1982,-185170
uzbekistan,1987,-346421
uzbekistan,1992,-322777
uzbekistan,1997,-242636
uzbekistan,2002,-242297
uzbekistan,2007,-140130
uzbekistan,2012,-66469
uzbekistan,2017,-44314
st._vincent_and_the_grenadines,1962,-9326
st._vincent_and_the_grenadines,1967,-10014
st._vincent_and_the_grenadines,1972,-8792
st._vincent_and_the_grenadines,1977,-7257
st._vincent_and_the_grenadines,1982,-7345
st._vincent_and_the_grenadines,1987,-7103
st._vincent_and_the_grenadines,1992,-8682
st._vincent_and_the_grenadines,1997,-7948
st._vincent_and_the_grenadines,2002,-5200
st._vincent_and_the_grenadines,2007,-5122
st._vincent_and_the_grenadines,2012,-5000
st._vincent_and_the_grenadines,2017,-2996
"venezuela,_rb",1962,18874
"venezuela,_rb",1967,3172
"venezuela,_rb",1972,892
"venezuela,_rb",1977,1094
"venezuela,_rb",1982,1373
"venezuela,_rb",1987,891
"venezuela,_rb",1992,-572
"venezuela,_rb",1997,-2061
"venezuela,_rb",2002,-7648
"venezuela,_rb",2007,-28395
"venezuela,_rb",2012,-69121
"venezuela,_rb",2017,-60493
vietnam,1962,0
vietnam,1967,0
vietnam,1972,0
vietnam,1977,-813123
vietnam,1982,-324942
vietnam,1987,-332327
vietnam,1992,-394236
vietnam,1997,-216001
vietnam,2002,-672334
vietnam,2007,-877681
vietnam,2012,-200002
vietnam,2017,-200000
vanuatu,1962,67
vanuatu,1967,-506
vanuatu,1972,1439
vanuatu,1977,245
vanuatu,1982,-3312
vanuatu,1987,-2801
vanuatu,1992,-295
vanuatu,1997,-7087
vanuatu,2002,-502
vanuatu,2007,1135
vanuatu,2012,604
vanuatu,2017,604
samoa,1962,-1453
samoa,1967,-5043
samoa,1972,-13312
samoa,1977,-17563
samoa,1982,-17430
samoa,1987,-18654
samoa,1992,-13724
samoa,1997,-17300
samoa,2002,-15726
samoa,2007,-15371
samoa,2012,-12690
samoa,2017,-12500
"yemen,_rep.",1962,-100000
"yemen,_rep.",1967,-245662
"yemen,_rep.",1972,-353000
"yemen,_rep.",1977,-75000
"yemen,_rep.",1982,-50000
"yemen,_rep.",1987,-50000
"yemen,_rep.",1992,615000
"yemen,_rep.",1997,-100000
"yemen,_rep.",2002,-112150
"yemen,_rep.",2007,-65768
"yemen,_rep.",2012,-75010
"yemen,_rep.",2017,-150000
south_africa,1962,106550
south_africa,1967,198515
south_africa,1972,226600
south_africa,1977,73316
south_africa,1982,180998
south_africa,1987,-129050
south_africa,1992,739500
south_africa,1997,313500
south_africa,2002,596000
south_africa,2007,627500
south_africa,2012,806500
south_africa,2017,300000
zambia,1962,2500
zambia,1967,-4245
zambia,1972,26662
zambia,1977,17573
zambia,1982,58483
zambia,1987,2822
zambia,1992,-22952
zambia,1997,79445
zambia,2002,-93014
zambia,2007,-124044
zambia,2012,-34490
zambia,2017,-40000
zimbabwe,1962,-15009
zimbabwe,1967,-42001
zimbabwe,1972,-45547
zimbabwe,1977,-152283
zimbabwe,1982,99068
zimbabwe,1987,84354
zimbabwe,1992,-199997
zimbabwe,1997,-219998
zimbabwe,2002,-350001
zimbabwe,2007,-300000
zimbabwe,2012,-249999
zimbabwe,2017,-99998
